SeqName	Hit-Desc	GO-Group	GO-ID	Term
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	P	GO:0016197	endosomal transport
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	F	GO:0008865	fructokinase activity
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	C	GO:0005829	cytosol
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	F	GO:0008017	microtubule binding
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	P	GO:0051259	protein oligomerization
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	P	GO:0006096	glycolysis
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	P	GO:0050802	circadian sleep/wake cycle, sleep
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	F	GO:0019158	mannokinase activity
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	C	GO:0005768	endosome
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	C	GO:0008076	voltage-gated potassium channel complex
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	P	GO:0006813	potassium ion transport
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	P	GO:0045467	R7 cell development
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	P	GO:0001678	cellular glucose homeostasis
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	F	GO:0005249	voltage-gated potassium channel activity
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	C	GO:0045202	synapse
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	P	GO:0005982	starch metabolic process
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	P	GO:0005985	sucrose metabolic process
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	P	GO:0006012	galactose metabolic process
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	P	GO:0006094	gluconeogenesis
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	P	GO:0019872	streptomycin biosynthetic process
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	P	GO:0006000	fructose metabolic process
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	P	GO:0006013	mannose metabolic process
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	C	GO:0045298	tubulin complex
HMEL025039-PA	sodium-coupled monocarboxylate transporter 2-like	P	GO:0055085	transmembrane transport
HMEL025039-PA	sodium-coupled monocarboxylate transporter 2-like	C	GO:0016021	integral to membrane
HMEL025039-PA	sodium-coupled monocarboxylate transporter 2-like	F	GO:0005215	transporter activity
HMEL025040-PA	sodium potassium calcium exchanger 4-like	P	GO:0055085	transmembrane transport
HMEL025040-PA	sodium potassium calcium exchanger 4-like	C	GO:0016021	integral to membrane
HMEL025041-PA	sodium potassium calcium exchanger 4-like	P	GO:0055085	transmembrane transport
HMEL025041-PA	sodium potassium calcium exchanger 4-like	C	GO:0016021	integral to membrane
HMEL025043-PA	mog interacting and ectopic p-granules protein 1	F	GO:0046872	metal ion binding
HMEL025044-PA	er degradation-enhancing alpha-mannosidase-like protein 3-like isoform x1	P	GO:0030968	endoplasmic reticulum unfolded protein response
HMEL025044-PA	er degradation-enhancing alpha-mannosidase-like protein 3-like isoform x1	F	GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity
HMEL025044-PA	er degradation-enhancing alpha-mannosidase-like protein 3-like isoform x1	F	GO:0005509	calcium ion binding
HMEL025044-PA	er degradation-enhancing alpha-mannosidase-like protein 3-like isoform x1	F	GO:0051082	unfolded protein binding
HMEL025044-PA	er degradation-enhancing alpha-mannosidase-like protein 3-like isoform x1	P	GO:0030433	ER-associated protein catabolic process
HMEL025044-PA	er degradation-enhancing alpha-mannosidase-like protein 3-like isoform x1	C	GO:0016020	membrane
HMEL025044-PA	er degradation-enhancing alpha-mannosidase-like protein 3-like isoform x1	P	GO:0005975	carbohydrate metabolic process
HMEL025045-PA	activating transcription factor- isoform b	C	GO:0005704	polytene chromosome band
HMEL025045-PA	activating transcription factor- isoform b	C	GO:0031618	nuclear centromeric heterochromatin
HMEL025045-PA	activating transcription factor- isoform b	P	GO:0030431	sleep
HMEL025045-PA	activating transcription factor- isoform b	P	GO:0070829	heterochromatin maintenance
HMEL025045-PA	activating transcription factor- isoform b	F	GO:0001077	RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription
HMEL025045-PA	activating transcription factor- isoform b	P	GO:0002385	mucosal immune response
HMEL025045-PA	activating transcription factor- isoform b	P	GO:0071470	cellular response to osmotic stress
HMEL025045-PA	activating transcription factor- isoform b	P	GO:0009651	response to salt stress
HMEL025045-PA	activating transcription factor- isoform b	C	GO:0005701	polytene chromosome chromocenter
HMEL025045-PA	activating transcription factor- isoform b	P	GO:0031453	positive regulation of heterochromatin assembly
HMEL025045-PA	activating transcription factor- isoform b	F	GO:0043565	sequence-specific DNA binding
HMEL025045-PA	activating transcription factor- isoform b	P	GO:0034605	cellular response to heat
HMEL025045-PA	activating transcription factor- isoform b	P	GO:0045944	positive regulation of transcription from RNA polymerase II promoter
HMEL025045-PA	activating transcription factor- isoform b	F	GO:0042803	protein homodimerization activity
HMEL025045-PA	activating transcription factor- isoform b	P	GO:0010866	regulation of triglyceride biosynthetic process
HMEL025045-PA	activating transcription factor- isoform b	P	GO:0051403	stress-activated MAPK cascade
HMEL025045-PA	activating transcription factor- isoform b	C	GO:0016021	integral to membrane
HMEL025045-PB	activating transcription factor- isoform b	C	GO:0005704	polytene chromosome band
HMEL025045-PB	activating transcription factor- isoform b	C	GO:0031618	nuclear centromeric heterochromatin
HMEL025045-PB	activating transcription factor- isoform b	P	GO:0030431	sleep
HMEL025045-PB	activating transcription factor- isoform b	P	GO:0070829	heterochromatin maintenance
HMEL025045-PB	activating transcription factor- isoform b	F	GO:0001077	RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription
HMEL025045-PB	activating transcription factor- isoform b	P	GO:0002385	mucosal immune response
HMEL025045-PB	activating transcription factor- isoform b	P	GO:0071470	cellular response to osmotic stress
HMEL025045-PB	activating transcription factor- isoform b	P	GO:0009651	response to salt stress
HMEL025045-PB	activating transcription factor- isoform b	C	GO:0005701	polytene chromosome chromocenter
HMEL025045-PB	activating transcription factor- isoform b	P	GO:0031453	positive regulation of heterochromatin assembly
HMEL025045-PB	activating transcription factor- isoform b	F	GO:0043565	sequence-specific DNA binding
HMEL025045-PB	activating transcription factor- isoform b	P	GO:0034605	cellular response to heat
HMEL025045-PB	activating transcription factor- isoform b	P	GO:0045944	positive regulation of transcription from RNA polymerase II promoter
HMEL025045-PB	activating transcription factor- isoform b	F	GO:0042803	protein homodimerization activity
HMEL025045-PB	activating transcription factor- isoform b	P	GO:0010866	regulation of triglyceride biosynthetic process
HMEL025045-PB	activating transcription factor- isoform b	P	GO:0051403	stress-activated MAPK cascade
HMEL025045-PB	activating transcription factor- isoform b	C	GO:0016021	integral to membrane
HMEL025046-PA	g-protein coupled receptor	F	GO:0008227	G-protein coupled amine receptor activity
HMEL025046-PA	g-protein coupled receptor	P	GO:0071329	cellular response to sucrose stimulus
HMEL025046-PA	g-protein coupled receptor	F	GO:0001588	dopamine neurotransmitter receptor activity, coupled via Gs
HMEL025046-PA	g-protein coupled receptor	P	GO:0010579	positive regulation of adenylate cyclase activity involved in G-protein coupled receptor signaling pathway
HMEL025046-PA	g-protein coupled receptor	P	GO:0035075	response to ecdysone
HMEL025046-PA	g-protein coupled receptor	P	GO:0043410	positive regulation of MAPK cascade
HMEL025046-PA	g-protein coupled receptor	F	GO:0035100	ecdysone binding
HMEL025046-PA	g-protein coupled receptor	C	GO:0005887	integral to plasma membrane
HMEL025046-PA	g-protein coupled receptor	P	GO:0009267	cellular response to starvation
HMEL025046-PA	g-protein coupled receptor	P	GO:0007268	synaptic transmission
HMEL025047-PA	projectin-like protein	C	GO:0005737	cytoplasm
HMEL025047-PA	projectin-like protein	P	GO:0006508	proteolysis
HMEL025047-PA	projectin-like protein	F	GO:0030145	manganese ion binding
HMEL025047-PA	projectin-like protein	F	GO:0008235	metalloexopeptidase activity
HMEL025047-PA	projectin-like protein	F	GO:0004177	aminopeptidase activity
HMEL025047-PA	projectin-like protein	F	GO:0005515	protein binding
HMEL025001-PB	tetraspanin-5-like isoform x1	C	GO:0016021	integral to membrane
HMEL025001-PC	tetraspanin-5-like isoform x2	C	GO:0016021	integral to membrane
HMEL025002-PA	seminal fluid protein hacp003	F	GO:0004252	serine-type endopeptidase activity
HMEL025002-PA	seminal fluid protein hacp003	P	GO:0006508	proteolysis
HMEL025002-PB	seminal fluid protein hacp037	F	GO:0004252	serine-type endopeptidase activity
HMEL025002-PB	seminal fluid protein hacp037	P	GO:0006508	proteolysis
HMEL025003-PA	acyl- delta-14 desaturase	P	GO:0006629	lipid metabolic process
HMEL025003-PA	acyl- delta-14 desaturase	F	GO:0016717	oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water
HMEL025003-PA	acyl- delta-14 desaturase	P	GO:0055114	oxidation-reduction process
HMEL025004-PA	serine protease	F	GO:0004252	serine-type endopeptidase activity
HMEL025004-PA	serine protease	P	GO:0006508	proteolysis
HMEL025006-PC	serine protease-like protein	F	GO:0004252	serine-type endopeptidase activity
HMEL025006-PC	serine protease-like protein	P	GO:0006508	proteolysis
HMEL025007-PA	serine protease	F	GO:0004252	serine-type endopeptidase activity
HMEL025007-PA	serine protease	P	GO:0006508	proteolysis
HMEL025008-PA	serine protease	F	GO:0004252	serine-type endopeptidase activity
HMEL025008-PA	serine protease	P	GO:0006508	proteolysis
HMEL025009-PA	serine proteinase stubble-like	F	GO:0004252	serine-type endopeptidase activity
HMEL025009-PA	serine proteinase stubble-like	P	GO:0006508	proteolysis
HMEL025014-PB	heterogeneous nuclear ribonucleoprotein a1	F	GO:0048027	mRNA 5'-UTR binding
HMEL025014-PB	heterogeneous nuclear ribonucleoprotein a1	P	GO:0036099	female germ-line stem cell maintenance
HMEL025014-PB	heterogeneous nuclear ribonucleoprotein a1	F	GO:0000166	nucleotide binding
HMEL025014-PB	heterogeneous nuclear ribonucleoprotein a1	P	GO:0000381	regulation of alternative mRNA splicing, via spliceosome
HMEL025014-PB	heterogeneous nuclear ribonucleoprotein a1	P	GO:0001745	compound eye morphogenesis
HMEL025014-PB	heterogeneous nuclear ribonucleoprotein a1	P	GO:0045727	positive regulation of translation
HMEL025014-PB	heterogeneous nuclear ribonucleoprotein a1	C	GO:0005703	polytene chromosome puff
HMEL025014-PB	heterogeneous nuclear ribonucleoprotein a1	P	GO:0033119	negative regulation of RNA splicing
HMEL025014-PB	heterogeneous nuclear ribonucleoprotein a1	F	GO:0043565	sequence-specific DNA binding
HMEL025014-PB	heterogeneous nuclear ribonucleoprotein a1	P	GO:0048477	oogenesis
HMEL025014-PB	heterogeneous nuclear ribonucleoprotein a1	C	GO:0005634	nucleus
HMEL025014-PB	heterogeneous nuclear ribonucleoprotein a1	C	GO:0030529	ribonucleoprotein complex
HMEL025015-PB	heterogeneous nuclear ribonucleoprotein a1	C	GO:0005703	polytene chromosome puff
HMEL025015-PB	heterogeneous nuclear ribonucleoprotein a1	F	GO:0003729	mRNA binding
HMEL025015-PB	heterogeneous nuclear ribonucleoprotein a1	P	GO:0022008	neurogenesis
HMEL025015-PB	heterogeneous nuclear ribonucleoprotein a1	P	GO:0001745	compound eye morphogenesis
HMEL025015-PB	heterogeneous nuclear ribonucleoprotein a1	F	GO:0043565	sequence-specific DNA binding
HMEL025015-PB	heterogeneous nuclear ribonucleoprotein a1	P	GO:0000381	regulation of alternative mRNA splicing, via spliceosome
HMEL025015-PB	heterogeneous nuclear ribonucleoprotein a1	C	GO:0000785	chromatin
HMEL025015-PB	heterogeneous nuclear ribonucleoprotein a1	P	GO:0007067	mitosis
HMEL025015-PB	heterogeneous nuclear ribonucleoprotein a1	F	GO:0000166	nucleotide binding
HMEL025015-PB	heterogeneous nuclear ribonucleoprotein a1	C	GO:0030529	ribonucleoprotein complex
HMEL025015-PB	heterogeneous nuclear ribonucleoprotein a1	C	GO:0035062	omega speckle
HMEL025017-PA	mannose-6-phosphate isomerase-like	F	GO:0008270	zinc ion binding
HMEL025017-PA	mannose-6-phosphate isomerase-like	F	GO:0004476	mannose-6-phosphate isomerase activity
HMEL025017-PA	mannose-6-phosphate isomerase-like	P	GO:0009298	GDP-mannose biosynthetic process
HMEL025017-PA	mannose-6-phosphate isomerase-like	P	GO:0006000	fructose metabolic process
HMEL025017-PA	mannose-6-phosphate isomerase-like	P	GO:0006013	mannose metabolic process
HMEL025018-PA	serine protease-like protein	F	GO:0004252	serine-type endopeptidase activity
HMEL025018-PA	serine protease-like protein	P	GO:0006508	proteolysis
HMEL025019-PA	chorion peroxidase	F	GO:0020037	heme binding
HMEL025019-PA	chorion peroxidase	F	GO:0004601	peroxidase activity
HMEL025019-PA	chorion peroxidase	P	GO:0055114	oxidation-reduction process
HMEL025019-PA	chorion peroxidase	P	GO:0006979	response to oxidative stress
HMEL025019-PA	chorion peroxidase	P	GO:0006804	peroxidase reaction
HMEL025020-PA	chorion peroxidase	F	GO:0020037	heme binding
HMEL025020-PA	chorion peroxidase	F	GO:0004601	peroxidase activity
HMEL025020-PA	chorion peroxidase	P	GO:0055114	oxidation-reduction process
HMEL025020-PA	chorion peroxidase	P	GO:0006979	response to oxidative stress
HMEL025020-PA	chorion peroxidase	P	GO:0006804	peroxidase reaction
HMEL025021-PB	chorion peroxidase-like	F	GO:0020037	heme binding
HMEL025021-PB	chorion peroxidase-like	F	GO:0004601	peroxidase activity
HMEL025021-PB	chorion peroxidase-like	P	GO:0055114	oxidation-reduction process
HMEL025021-PB	chorion peroxidase-like	P	GO:0006979	response to oxidative stress
HMEL025021-PB	chorion peroxidase-like	P	GO:0006804	peroxidase reaction
HMEL025022-PA	prefoldin beta subunit	P	GO:0006457	protein folding
HMEL025022-PA	prefoldin beta subunit	C	GO:0016272	prefoldin complex
HMEL025022-PA	prefoldin beta subunit	F	GO:0051082	unfolded protein binding
HMEL025023-PA	testin ortholog	C	GO:0005737	cytoplasm
HMEL025023-PA	testin ortholog	C	GO:0015629	actin cytoskeleton
HMEL025023-PA	testin ortholog	F	GO:0008270	zinc ion binding
HMEL025024-PA	ras-related c3 botulinum toxin substrate 1-like	P	GO:0042067	establishment of ommatidial planar polarity
HMEL025024-PA	ras-related c3 botulinum toxin substrate 1-like	P	GO:0030032	lamellipodium assembly
HMEL025024-PA	ras-related c3 botulinum toxin substrate 1-like	P	GO:0007390	germ-band shortening
HMEL025024-PA	ras-related c3 botulinum toxin substrate 1-like	C	GO:0016020	membrane
HMEL025024-PA	ras-related c3 botulinum toxin substrate 1-like	P	GO:0006974	response to DNA damage stimulus
HMEL025024-PA	ras-related c3 botulinum toxin substrate 1-like	P	GO:0051017	actin filament bundle assembly
HMEL025024-PA	ras-related c3 botulinum toxin substrate 1-like	P	GO:0007394	dorsal closure, elongation of leading edge cells
HMEL025024-PA	ras-related c3 botulinum toxin substrate 1-like	F	GO:0005525	GTP binding
HMEL025024-PA	ras-related c3 botulinum toxin substrate 1-like	P	GO:0051301	cell division
HMEL025024-PA	ras-related c3 botulinum toxin substrate 1-like	F	GO:0004767	sphingomyelin phosphodiesterase activity
HMEL025024-PA	ras-related c3 botulinum toxin substrate 1-like	P	GO:0001737	establishment of imaginal disc-derived wing hair orientation
HMEL025024-PA	ras-related c3 botulinum toxin substrate 1-like	P	GO:0035099	hemocyte migration
HMEL025024-PA	ras-related c3 botulinum toxin substrate 1-like	P	GO:0007254	JNK cascade
HMEL025024-PA	ras-related c3 botulinum toxin substrate 1-like	P	GO:0007264	small GTPase mediated signal transduction
HMEL025024-PA	ras-related c3 botulinum toxin substrate 1-like	P	GO:0008258	head involution
HMEL025024-PA	ras-related c3 botulinum toxin substrate 1-like	C	GO:0005622	intracellular
HMEL025024-PA	ras-related c3 botulinum toxin substrate 1-like	F	GO:0003924	GTPase activity
HMEL025024-PA	ras-related c3 botulinum toxin substrate 1-like	P	GO:0007435	salivary gland morphogenesis
HMEL025024-PA	ras-related c3 botulinum toxin substrate 1-like	P	GO:0006687	glycosphingolipid metabolic process
HMEL025025-PA	leucine-rich repeat protein soc-2 homolog	C	GO:0000164	protein phosphatase type 1 complex
HMEL025025-PA	leucine-rich repeat protein soc-2 homolog	F	GO:0017016	Ras GTPase binding
HMEL025025-PA	leucine-rich repeat protein soc-2 homolog	P	GO:0046579	positive regulation of Ras protein signal transduction
HMEL025026-PA	cleavage stimulation factor 64 kda subunit	F	GO:0003676	nucleic acid binding
HMEL025026-PA	cleavage stimulation factor 64 kda subunit	F	GO:0000166	nucleotide binding
HMEL025027-PA	protein creg1-like	F	GO:0016491	oxidoreductase activity
HMEL025027-PA	protein creg1-like	F	GO:0010181	FMN binding
HMEL025027-PA	protein creg1-like	P	GO:0055114	oxidation-reduction process
HMEL025029-PA	golgin-45-like	P	GO:0007030	Golgi organization
